date,open,close,high,low,volume,code
2017-01-03,13.147,13.344,13.423,13.147,99751.0,000970
2017-01-04,13.383,13.58,13.688,13.255,147233.0,000970
2017-01-05,13.58,13.541,13.649,13.472,109276.0,000970
2017-01-06,13.531,13.462,13.58,13.452,76555.0,000970
2017-01-09,13.472,13.61,13.708,13.442,109750.0,000970
2017-01-10,13.669,13.541,13.679,13.541,74921.0,000970
2017-01-11,13.56,13.196,13.619,13.177,119164.0,000970
2017-01-12,13.187,12.891,13.275,12.842,162991.0,000970
2017-01-13,12.852,12.616,12.96,12.606,101031.0,000970
2017-01-16,12.606,11.996,12.616,11.415,174701.0,000970
2017-01-17,12.035,12.163,12.163,11.73,109742.0,000970
2017-01-18,12.143,12.075,12.232,11.996,59865.0,000970
2017-01-19,12.075,12.035,12.134,11.966,66538.0,000970
2017-01-20,12.075,12.291,12.35,12.006,74363.0,000970
2017-01-23,12.389,12.35,12.517,12.301,92330.0,000970
2017-01-24,12.35,12.37,12.508,12.321,65637.0,000970
2017-01-25,12.36,12.576,12.576,12.311,82609.0,000970
2017-01-26,12.616,13.019,13.068,12.576,176669.0,000970
2017-02-03,13.049,12.744,13.068,12.704,93017.0,000970
2017-02-06,12.754,12.822,12.881,12.576,73678.0,000970
2017-02-07,12.793,12.773,12.891,12.675,79679.0,000970
2017-02-08,12.754,12.822,12.842,12.576,96069.0,000970
2017-02-09,12.803,13.088,13.147,12.744,154185.0,000970
2017-02-10,13.0,13.029,13.127,12.94,126592.0,000970
2017-02-13,13.068,13.206,13.413,13.068,147717.0,000970
2017-02-14,13.216,13.285,13.413,13.108,124903.0,000970
2017-02-15,13.334,13.068,13.433,13.039,138006.0,000970
2017-02-16,13.147,13.482,13.639,13.088,277289.0,000970
2017-02-17,13.472,13.187,13.472,13.137,145217.0,000970
2017-02-20,13.187,13.255,13.334,13.068,112486.0,000970
2017-02-21,13.265,13.482,13.531,13.226,171331.0,000970
2017-02-22,13.452,13.472,13.551,13.393,122450.0,000970
2017-02-23,13.472,13.708,13.816,13.452,242307.0,000970
2017-02-24,13.6,13.679,13.826,13.57,145020.0,000970
2017-02-27,13.629,13.639,13.895,13.59,145644.0,000970
2017-02-28,13.639,13.866,13.895,13.639,141373.0,000970
2017-03-01,13.826,13.806,13.895,13.738,122871.0,000970
2017-03-02,13.816,14.043,14.151,13.816,218770.0,000970
2017-03-03,13.984,14.003,14.062,13.806,139399.0,000970
2017-03-06,14.033,14.387,14.476,14.003,259498.0,000970
2017-03-07,14.308,14.417,14.436,14.22,147076.0,000970
2017-03-08,14.417,14.269,14.456,14.161,126570.0,000970
2017-03-09,14.171,13.797,14.171,13.738,198536.0,000970
2017-03-10,13.787,13.964,14.023,13.767,108056.0,000970
2017-03-13,13.934,14.082,14.131,13.747,112130.0,000970
2017-03-14,14.161,14.328,14.613,14.161,242456.0,000970
2017-03-15,14.259,14.476,14.623,14.239,207502.0,000970
2017-03-16,14.476,14.515,14.653,14.407,130449.0,000970
2017-03-17,14.485,14.495,14.741,14.466,182786.0,000970
2017-03-20,14.525,14.761,14.859,14.387,227047.0,000970
2017-03-21,14.663,14.731,14.82,14.574,154684.0,000970
2017-03-22,14.613,14.446,14.663,14.397,147321.0,000970
2017-03-23,14.495,14.623,14.623,14.22,179366.0,000970
2017-03-24,14.604,14.663,14.741,14.505,144324.0,000970
2017-03-27,14.741,14.466,14.82,14.466,137126.0,000970
2017-03-28,14.367,14.407,14.702,14.358,137033.0,000970
2017-03-29,14.426,14.692,14.899,14.426,319109.0,000970
2017-03-30,14.682,14.18,14.81,14.033,244215.0,000970
2017-03-31,14.338,14.269,14.338,14.033,108991.0,000970
2017-04-05,14.485,15.056,15.529,14.485,489823.0,000970
2017-04-06,15.155,15.056,15.184,14.899,210280.0,000970
2017-04-07,15.007,15.017,15.204,14.928,183417.0,000970
2017-04-10,15.076,15.135,15.381,14.918,260233.0,000970
2017-04-11,15.194,15.056,15.381,14.731,325939.0,000970
2017-04-12,14.958,14.938,15.155,14.731,169572.0,000970
2017-04-13,14.85,15.351,15.41,14.81,313343.0,000970
2017-04-14,15.273,15.332,15.479,15.174,235907.0,000970
2017-04-17,15.243,15.066,15.342,14.958,129502.0,000970
2017-04-18,15.046,14.279,15.214,14.269,259501.0,000970
2017-04-19,14.171,14.259,14.348,13.885,166692.0,000970
2017-04-20,14.18,14.21,14.407,14.072,107173.0,000970
2017-04-21,14.239,13.137,14.318,12.99,317165.0,000970
2017-04-24,13.127,13.344,13.492,12.626,213503.0,000970
2017-04-25,13.295,13.344,13.6,13.285,101524.0,000970
2017-04-26,13.285,13.216,13.413,13.137,104988.0,000970
2017-04-27,13.246,13.728,13.757,12.813,201258.0,000970
2017-04-28,13.482,13.669,13.679,13.462,97673.0,000970
2017-05-02,13.649,13.767,13.954,13.482,121726.0,000970
2017-05-03,13.728,13.905,14.043,13.6,143277.0,000970
2017-05-04,13.846,13.836,14.092,13.767,118388.0,000970
2017-05-05,13.836,13.728,14.003,13.629,109170.0,000970
