,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.242,4.14,4.17,4.22,4.13,4.13,729738.0,0.31673,3052771.0,31.603,1.419,238464.0,95385.6
1,603998,方盛制药,0.645,4.68,4.73,4.79,4.67,4.65,1346500.0,0.31668,6364308.0,33.429,1.956,200567.35296,198992.06496
2,603997,继峰股份,-3.75,7.7,7.95,7.98,7.46,8.0,4986960.0,0.7915800000000001,38320098.0,16.739,2.887,491043.784,485100.0
3,603996,中新科技,0.58,6.94,7.05,7.16,6.93,6.9,3748312.0,3.6294500000000003,26241404.0,14.163,1.3820000000000001,208304.1,71672.85
4,603993,洛阳钼业,-2.432,3.61,3.75,3.79,3.56,3.7,84911247.0,0.48065,311515611.0,25.786,1.971,7797325.850463,6377343.902463
5,603991,至正股份,-1.136,16.54,16.65,17.1,16.54,16.73,171100.0,0.41652000000000006,2867900.0,30.63,2.643,123280.886692,67944.530372
6,603990,麦迪科技,-0.485,28.75,29.0,29.08,28.75,28.89,53600.0,0.08893000000000001,1548555.0,44.922,5.3870000000000005,231825.5675,173282.0
7,603989,艾华集团,-0.099,20.28,20.56,20.88,20.12,20.3,186000.0,0.04769,3803345.0,20.907,4.587,790923.358368,790923.358368
8,603988,中电电机,-0.114,8.77,8.94,9.2,8.71,8.78,2147548.0,0.91307,19085525.0,31.321,2.22,206270.4,206270.4
9,603987,康德莱,-0.375,5.31,5.36,5.39,5.27,5.33,842520.0,0.31662,4505001.0,13.974,1.344,234494.379,141299.11593
10,603986,兆易创新,0.794,69.85,72.0,72.5,69.4,69.3,2741437.0,1.32183,194437930.0,35.101,10.811,1988241.74868,1448669.295315
11,603985,恒润股份,-1.911,17.45,18.1,18.1,17.15,17.79,741810.0,1.1145,13048652.0,13.789,1.754,181480.0,116147.2
12,603980,吉华集团,0.46,10.91,11.07,11.11,10.81,10.86,1235800.0,0.5031100000000001,13541040.0,12.356,1.27,545500.0,267985.699008
13,603979,金诚信,0.267,7.52,7.6,7.65,7.5,7.5,570500.0,0.09752000000000001,4319941.0,21.486,1.111,439920.0,439920.0
14,603978,深圳新星,3.445,21.62,20.39,21.82,20.0,20.9,4521900.0,6.19985,94036121.0,13.771,2.58,345920.0,157686.94016
15,603977,国泰集团,-0.577,6.89,6.98,7.02,6.88,6.93,304780.0,0.17322,2121554.0,22.226,2.22,213253.768,121230.928
16,603976,正川股份,-0.679,11.71,12.0,12.03,11.7,11.79,346295.0,0.90417,4119448.0,12.868,1.861,177055.2,44849.227398
17,603970,中农立华,-0.68,14.61,14.9,15.09,14.56,14.71,536030.0,1.34007,7950920.0,16.623,2.815,233760.11688,58440.11688
18,603969,银龙股份,-0.244,4.08,4.17,4.18,4.06,4.09,2228310.0,0.26496000000000003,9186246.0,13.6,1.464,343128.0,343128.0
19,603968,醋化股份,1.033,11.74,11.75,11.91,11.69,11.62,908280.0,0.44419000000000003,10720055.0,14.861,1.788,240059.52,240059.52
20,603966,法兰泰克,-0.658,7.55,7.78,7.88,7.51,7.6,219590.0,0.23615000000000003,1680378.0,18.415,1.865,159338.673,70206.77352
21,603963,大理药业,0.813,12.4,12.47,12.61,12.18,12.3,487130.0,0.6378100000000001,6061706.0,22.545,2.729,161200.0,94705.0
22,603960,克来机电,-5.391,24.22,25.99,26.0,23.8,25.6,520375.0,1.00442,12694306.0,47.49,7.247,327454.4,125480.012616
23,603959,百利科技,-10.0,11.7,13.1,13.36,11.7,13.0,1460839.0,0.9806900000000001,18065109.0,24.375,3.549,366912.0,174283.2
24,603958,哈森股份,-0.627,7.93,7.91,7.99,7.86,7.98,288500.0,0.43713,2292771.0,94.856,1.564,174385.97345,52337.203828
25,603955,大千生态,1.464,13.86,13.85,14.08,13.82,13.66,350171.0,0.49098,4881450.0,14.43,1.456,156756.6,98849.815218
26,603939,益丰药房,0.0,49.61,0.0,0.0,0.0,49.61,0.0,0.0,0.0,57.419,5.482,1799328.198338,1799328.198338
27,603938,三孚股份,-1.574,18.14,18.89,18.94,17.9,18.43,1359700.0,2.67728,25217101.0,16.642,2.664,272402.2124,92126.8924
28,603937,丽岛新材,-1.083,11.87,12.24,12.28,11.78,12.0,1023200.0,1.9594,12316860.0,20.466,1.975,247940.56,61985.14
29,603936,博敏电子,-4.186,14.65,14.8,15.0,14.5,15.29,3979474.0,7.09354,58934810.0,37.564,2.39,315645.403045,82186.5
30,603933,睿能科技,0.982,15.43,15.63,15.78,15.38,15.28,428520.0,1.19239,6681132.0,9.809,2.201,221787.734,55452.334
31,603929,亚翔集成,-1.974,16.39,17.0,17.3,16.16,16.72,1414800.0,1.4652,23601872.0,27.317,3.363,349697.04,158261.84
32,603928,兴业股份,-0.569,12.23,12.47,12.63,12.11,12.3,819596.0,1.30568,10228295.0,18.254,2.103,246556.8,76769.5445
33,603926,铁流股份,4.855,15.55,14.6,15.98,14.53,14.83,3675273.0,5.64623,57057691.0,15.245,1.7850000000000001,192462.35,101218.87171
34,603922,金鸿顺,0.919,14.28,14.42,14.57,14.09,14.15,395800.0,1.23688,5679533.0,16.414,1.6320000000000001,182784.0,45696.0
35,603920,世运电路,-0.672,11.82,12.02,12.08,11.72,11.9,978900.0,0.76351,11650796.0,24.122,1.949,474927.6,151544.241276
36,603919,金徽酒,-1.343,13.96,14.15,14.29,13.87,14.15,362830.0,0.31322,5103527.0,20.232,2.678,508144.0,161710.4762
37,603918,金桥信息,0.842,11.98,11.94,12.47,11.94,11.88,606704.0,0.34369000000000005,7408052.0,59.9,4.098,214945.16,211478.148
38,603917,合力科技,-2.166,14.0,14.5,14.79,13.78,14.31,3061387.0,7.80966,43530641.0,14.782,2.5540000000000003,219520.0,54880.0
39,603916,苏博特,-0.168,11.87,12.01,12.08,11.81,11.89,975845.0,1.28401,11701323.0,20.825,1.815,367150.97,90212.0
40,603912,佳力图,-0.704,11.28,11.54,11.7,11.27,11.36,1005360.0,1.9408500000000002,11568818.0,16.114,3.716,237353.76,58430.4
41,603909,合诚股份,-0.704,28.21,28.25,28.42,28.15,28.41,142700.0,0.5708,4025073.0,45.332,4.586,289152.5,70525.0
42,603908,牧高笛,1.83,20.03,20.78,20.84,19.88,19.67,114804.0,0.49808,2315735.0,25.038,2.963,133580.07,46167.757915
43,603906,龙蟠科技,0.237,8.46,8.51,8.65,8.42,8.44,547480.0,0.58664,4665881.0,19.227,1.722,214938.144,78953.32224
44,603903,中持股份,-1.523,20.05,20.7,20.9,19.8,20.36,468500.0,0.63483,9535890.0,30.846,2.6950000000000003,207188.68,147968.35038
45,603901,永创智能,-1.07,6.47,6.35,6.68,6.35,6.54,1268700.0,0.6895100000000001,8304302.0,40.438,2.672,284284.699822,119048.0
46,603900,莱绅通灵,1.682,10.88,11.1,11.29,10.8,10.7,2277240.0,2.67538,25139045.0,11.886,1.565,370435.53792,92608.88448
47,603899,晨光文具,-2.076,26.42,27.36,27.36,26.3,26.98,1063400.0,0.11559000000000001,28327362.0,38.334,8.16,2430640.0,2430640.0
48,603898,好莱客,-0.169,17.73,17.94,18.38,17.61,17.76,671812.0,0.6186400000000001,12162071.0,15.417,2.618,567826.806078,192538.555578
49,603897,长城科技,-1.491,21.81,22.38,22.65,21.74,22.14,934480.0,2.09525,20776315.0,16.398,2.454,389090.4,97272.6
50,603896,寿仙谷,-0.625,28.64,29.0,29.4,28.45,28.82,479500.0,0.78534,13881238.0,40.338,4.556,410510.2944,174865.816
51,603895,天永智能,-0.112,26.85,27.0,28.26,26.59,26.88,2325712.0,8.60737,63633077.0,25.07,4.568,290194.8,72548.7
52,603890,春秋电子,0.789,12.78,12.86,12.95,12.62,12.68,788208.0,1.6438100000000002,10115206.0,8.192,1.831,245120.4,61280.1
53,603889,新澳股份,-0.473,8.41,8.47,8.57,8.4,8.45,166100.0,0.042420000000000006,1407015.0,14.254,1.473,331060.548188,329292.766188
54,603888,新华网,-4.954,13.43,14.15,14.28,13.21,14.13,1677600.0,0.95064,23160107.0,24.418,2.561,697056.43048,236999.18314
55,603887,城地股份,2.335,13.15,13.02,13.35,13.02,12.85,237380.0,0.28612000000000004,3117028.0,19.627,2.378,189623.0,109100.9738
56,603886,元祖股份,-1.079,13.75,13.98,14.17,13.59,13.9,599539.0,0.49463,8307092.0,16.176,2.924,330000.0,166662.375
57,603885,吉祥航空,-0.909,10.9,11.01,11.18,10.67,11.0,2199466.0,0.12240000000000001,23939563.0,14.73,2.212,1958744.68993,1958744.68993
58,603883,老百姓,-3.254,55.01,57.39,57.67,55.0,56.86,631862.0,0.23665000000000003,35176310.0,39.862,5.534,1567483.908266,1468767.0
59,603882,金域医学,-0.405,17.2,17.4,17.88,17.05,17.27,452410.0,0.16178,7862171.0,37.391,4.473,787561.47244,480979.71296
60,603881,数据港,0.681,23.64,23.77,24.2,23.52,23.48,846200.0,0.6619,20180751.0,42.214,5.381,497826.504912,302224.535112
61,603880,南卫股份,1.162,11.32,11.36,11.52,11.2,11.19,759732.0,1.19817,8626891.0,19.86,2.648,147160.0,71777.29
62,603879,永悦科技,-0.358,8.36,8.52,8.57,8.3,8.39,900600.0,1.11185,7605238.0,23.222,2.312,120384.0,67716.0
63,603878,武进不锈,0.82,11.06,10.95,11.19,10.95,10.97,349600.0,0.3461,3873522.0,17.556,1.089,226142.4928,111717.18166
64,603877,太平鸟,-0.536,16.7,16.95,17.19,16.6,16.79,668803.0,0.33648,11322521.0,17.216,2.511,802961.885,331939.22
65,603876,鼎胜新材,-1.2,18.11,18.69,18.69,17.9,18.33,1928535.0,2.96698,35500192.0,24.147,2.428,778730.0,117715.0
66,603871,嘉友国际,0.341,32.37,32.7,32.85,32.06,32.26,406400.0,1.45143,13241212.0,9.418,2.5060000000000002,362544.0,90636.0
67,603869,新智认知,0.514,13.69,14.0,14.0,13.6,13.62,323800.0,0.12077000000000002,4462701.0,17.779,1.258,477515.780892,367036.309028
68,603868,飞科电器,-5.599,42.15,44.99,45.4,41.0,44.65,466609.0,1.0702,20130009.0,21.953,8.52,1836054.0,183774.0
69,603866,桃李面包,-2.827,46.74,48.3,48.76,46.58,48.1,361450.0,0.61079,17205178.0,41.0,7.231,2199705.924,276594.88716
70,603861,白云电器,-0.113,8.83,9.07,9.07,8.7,8.84,313000.0,0.2585,2806381.0,23.31,1.74,390939.992184,106918.330496
71,603860,中公高科,-0.799,21.1,21.89,21.89,21.03,21.27,176200.0,0.7287,3786165.0,25.732,2.5300000000000002,140694.8,51019.8
